authorID,name
3794588,Christine A.  Maggs
3797119,Juan José Calvete
3803081,Tomohisa  Kuzuyama
3803205,Bruno B. Chomel
3807431,Bruno  Gottstein
3817897,Céline  Bonillo
3851828,Naoaki  Misawa
3856070,Christopher J. Secombes
3862512,Emma Theodora Steenkamp
3868936,Houssam  Attoui
3884878,Vasyl V.  Tkach
3886764,Joseph W.  Spatafora
3888379,John T. Klicka
3897481,Jean-Yves  Rasplus
3902355,Cristina Yumi Miyaki
3912271,Chiaki  Ishihara
3914789,Kenneth M.  Halanych
3939123,René  Feyereisen
3941581,H. Corby Kistler
3956985,Anne  Willems
3965564,Cathrin  Spröer
3969932,PATRICK J.  KEELING
3987848,Maria  Hrmova
3987942,Masayuki  Saijo
3989077,Brian P. Hedlund
4001284,Jan R.  Šlapeta
4006925,Milton S.  da Costa
4013337,Thierry P.  Naas
4035461,Jacques  Izopet
4047787,Michael R.  Kanost
4057852,Nobuhiro  Takada
4061944,Eric  Viscogliosi
4080518,Peter J.  Timoney
4086449,Dominic Edmund Dwyer
4090852,Alice  Cibois
4091094,Robert C.  Vrijenhoek
4100190,Mark A. Adams
4106935,Christian P. Kubicek
4107045,Luca  Bargelloni
4111894,David M. Lambert
4115876,Jan  Votýpka
4119414,Yoichi  Kamagata
4120166,Antonio  Tenorio
4127513,Michael A. Ayliffe
4133734,Stephen F. Porcella
4155907,Hervé  Bourhy
4156559,François M.  Catzeflis
4170260,Gian Maria  Rossolini
4179808,Alan T. Bull
4207434,Takashi  Sugita
4215840,Patricia J. Holman
4224037,Stephen J. Giovannoni
4233576,Nina V. Doronina
4244130,Somchai  Jongwutiwes
4248951,Marc-Andreé  Selosse
4267222,ERIK  VERHEYEN
4269628,John R.  Mascola
4276808,Alexander I. Slobodkin
4278651,Teemu H.  Teeri
4293946,Kenneth M. Olsen
4298565,Simone Mario Cacciò
4304876,Hirokazu  Tsukaya
4305524,Michail M.  Yakimov
4308106,Rémi N.  Charrel
4311698,Theodore G. Andreadis
4316176,Valerio  Ketmaier
4317050,Stefano  Donadio
4322229,Miroslav  Petrovec
4351597,Patrik  Medstrand
4363139,Gerald V. Minsavage
4365445,Maarten F. Jebbink
4380012,Horacio  Schneider
4381615,Motoyuki  Ashikari
4382021,Takahito  Chijiwa
4384073,Eric L. Delwart
4388621,Patrick  Mardulyn
4395415,Jérôme  Depaquit
4416705,Takuji  Kudo
4417878,Gerard  Muyzer
4445020,Christer  Erséus
4464397,Jiří  Doškař
4468449,Alexandre  Hassanin
4478826,Yoko  Satta
4479034,Nicole  Dubilier
4493446,Cibele Rodrigues Bonvicino
4498947,Brenda Diana Wingfield
4503903,Richard C. Cronn
4510280,Adalgisa  Caccone
4519075,Martin F.  Flajnik
4525813,Clive M. Brasier
4527978,Patrick  Mavingui
4531143,Adrian  Leuchtmann
4561217,Taisuke  Horimoto
4570541,Yukari  Ohta
4597918,Max  Ciarlet
4601245,Kirsten  Küsel
4610538,James M.  Musser
4619035,David S. Hibbett
4642352,Erwin  Tschachler
4652337,Kozo  Fujisaki
4676298,Anne E.  Osbourn
4694413,David Ross Robertson
4703312,Thierry  Candresse
4704855,Daniel L. Distel
4715143,Koichiro  Ushijima
4743460,Olivier  Hanotte
4747662,Erick  Denamur
4764955,Drake C. Stenger
4771168,José Paulo  Sampaio
4780414,Kenneth H.  Nealson
4787157,Xavier  Pourrut
4805919,Olivier  Verneau
4820846,Irby J. Lovette
4822651,MARK J.  BLACKET
4873162,Kelly Raquel Zamudio
4886143,Ian  Beveridge
4887818,Elisabeth A. Herniou
4894979,Andreas P. Teske
4896852,Carmen Luisa Loureiro
4901632,Are  Nylund
4916944,Souleymane  Mboup
4933519,Lone  Gram
4940245,Takema  Fukatsu
4962320,Peter N.  Golyshin
4962498,Michael J.  Stanhope
4963423,Rui  Kano
5007350,Christel  Verreth
5010638,Jong-Ok  Ka
5010780,Kiyoshi  Kita
5018823,Benham E L Lockhart
5039855,Christie J. Robnett
5040481,Joseph  Heitman
5087388,Eric S. Loker
5093157,Julie M Overbaugh
5109195,Gonzalo  Giribet
5129377,Osamu  Nakagomi
5139889,Masanobu  Kawachi
5140509,Donald P. Knowles
5164553,Olen M. Kew
5167644,Michael William Bruford
5169770,Douglas E.  Soltis
5177070,STUART B.  PIERTNEY
5181177,Sandro Luis  Bonatto
5192997,M. Steven Oberste
5207203,Enikő  Wehmann
5216557,Rodney L.  Honeycutt
5228247,Patrice  Nordmann
5245999,Rüdiger  Pukall
5249470,Sakae  Kikuyama
5259170,Margo C Cnockaert
5265547,David A. Kudrna
5268932,Gerald F. Kutish
5269402,Kenneth G. Karol
5272590,Timothy P. Stinear
5274242,Chaturong  Putaporntip
5280440,Richard  Yanagihara
5284892,Taku  Demura
5311241,Ronald A. Van Den Bussche
5320556,Károly  Márialigeti
5321670,Eiichi  Shoguchi
5332255,Munehiro  Okamoto
5336900,Timothy M. Shank
5373718,Warren E.  Johnson
5386824,Lukas  Rüber
5389516,Maria  Makuwa
5399024,John J. Stegeman
5409067,William M.  Switzer
5474035,David E.  Swayne
5522746,Sibel I. Karchner
5523403,Nicolas  Bierne
5552122,Xavier  Bellés
5554425,Satoko  Noda
5557888,Ignacio  Doadrio
5573129,Moriya  Ohkuma
5576902,Conrad A.  Matthee
5589579,Jens  Bukh
5592179,Miroslav  Oborník
5592765,Serge  Casaregola
5597695,Mirdad  Kazanji
5602527,Darren M. Crayn
5603041,Angelina  Plyusnina
5603340,David  Moreira
5607180,Barbara K. Mable
5628295,Tomoyasu  Nishizawa
5644247,Yuri A. Trotsenko
5686220,Tsutomu  Arie
5688407,Hiroyasu  Kitashiba
5703389,Václav  Hypsa
5703920,Birgitta  Bremer
5716592,Adrian J. Gibbs
5720848,Irina  Golovljova
5728806,Martin J. Loessner
5766768,Tetsuro  Shinoda
5775349,CHARLES R. VOSSBRINCK
5778032,Hisayoshi  Nozaki
5800357,Evans S. Lagudah
5809453,Luc J. Peelman
5824928,Vincent  Perreten
5838896,Ruslan  Kalendar
5855358,Brian J.  Tindall
5869906,Heikkia  Henttonen
5882470,Makoto  Kakishima
5889340,PEDRO  OROMÍ
5900409,Amı́lcar  Tanuri
5910666,Olli  Vapalahti
5915844,Yohey  Terai
5917147,Diane  Descamps
5919726,Nicholas James Knowles
5927374,Amadou Alpha Sall
5941427,Alexander V. Karasev
5943035,Yukifumi  Nawa
5944951,Jarkko  Hantula
5967941,Geert F. Wiegertjes
5991420,Jean-Baptiste  Mariaux
5991589,Yoshihiro  Takaki
6004426,Jun-ichi  Hikima
6006141,Daniel L. Nickrent
6008291,Ken  Takai
6011032,Ken  Shirasu
6076704,Bernhard  Schink
6093497,Tsutomu  Nishizawa
6108164,Helge  Holo
6114737,Vanessa M. Hirsch
6119340,Silvia G. Acinas
6131478,Hubert  Ferté
6134339,Bernard  Ollivier
6154416,Kenji  Yukuhiro
6155289,Rie  Kusakabe
6167874,Masaki U. Miya
6174056,IZENI PIRES  FARIAS
6211518,Mathieu  Picardeau
6230556,Ulrich  Nübel
6234325,Svetlana N. Dedysh
6246797,Stuart T. Nichol
6279472,Sylvain  Brisse
6284188,Haruhiko  Fujiwara
6291510,Iva  Dyková
6349345,Volker  Fingerle
6350427,Tomoyuki  Miura
6369180,DENIS H.  LYNN
6387627,Yasuo  Inoshima
6390795,Daigo  Takemoto
6415437,Hisashi  Inokuma
6436250,Stephen C.  Lougheed
6493427,Patrick  Forterre
6494749,Linda J. Saif
6499983,Francesco  Luzzaro
6511377,Yuuhiko  Tanabe
6529686,Christina F. Spiropoulou
6542110,ERIC.  PASQUET
6543883,Jan Frederik Kreuze
6577920,Anne  Godfroy
6593096,Laurent  Poirel
6633039,Frans  Jongejan
6637782,Richard  Villems
6648154,Robert W. Briddon
6650716,Alexander  Steinbüchel
6686389,Georgios  Pollakis
6689095,Shigeyuki  Kawano
6708692,Yoshinao  Katsu
6710714,Ettore  Randi
6756962,Carey  Krajewski
6757672,Toshiya  Muranaka
6779655,David  Prangishvili
6783421,Eduardo  Gotuzzo
6783896,Thomas  Wicker
6812004,Hiroyuki  Gatanaga
6816021,Sabine  Zachgo
6823237,Freddy  Haesebrouck
6839497,Kazuhiko  Katayama
6867446,Christopher D. Paddock
6892066,Theresa A.  Spradling
6938577,Antonio  Ventosa
6940827,Christa  Schleper
6945815,Tadashi  Maruyama
6957392,Paula  Elomaa
6965382,Joyce E.  Longcore
6967203,Shawichi  Iwamuro
6976263,Marta  Riutort
7006609,Edward C.  Holmes
7007412,Naoshi  Dohmae
7011100,Jason Tory Blackard
7032750,Lia  van der Hoek
7182948,René  De Mot
7276732,Christopher J. Schneider
7302950,Amanda R.  Walker
7536588,Alessandra  della Torre
7569104,Pedro Willem  Crous
7663181,Alfred  Pühler
7690202,Zhi-hong  Hu
7803030,Jonathan F. Wendel
7852095,Robert B.  Tesh
8144281,Stephen J.  O’Brien
8236011,Christopher G. Dowson
8294609,Peter James Lockhart
8323286,Graham F.  Hatfull
8327109,John M. Logsdon
8484234,Yuichi  Nogi
9039475,Daniel R. Kuritzkes
9206942,Juan-Antonio  Raga
10069357,Manfred  Schartl
10281434,Peter  Schumann
12214283,Carlos E.  Suarez
12250909,Philippe  Biagini
12673613,Hideto  Takami
15041191,Mark  Wilkinson
15448670,Todd J.  Ward
21332073,Nigel P.  Barker
28863387,Martin W. Hahn
29017691,I. D. Small
29291701,Alex D. Hyatt
29761296,Assunta  Bertaccini
31575870,Wolfgang  Wohlleben
31654003,Mary. L. Berbee
31721147,Yuji  Inagaki
31722821,David M. Hunt
31740540,Peter  Parham
32103695,Yuji  Yasukochi
32131486,Jessica A T Morgan
32133687,Jamie R. Stevens
32165683,Kataaki  Okubo
32184062,Wolfgang R. Streit
32319907,John Colin Murrell
32347943,Stuart C.  Ray
32518350,Geetha  Kutty
32563095,Hiroki  Kawabata
32599737,Akira  Yokota
32657367,David James  Harris
32663554,Jane  Grimwood
32697857,Patrick J. Ferris
32739977,Silke  Pradella
32770351,Michael F.  Fay
32852674,Paul M. Sharp
33527004,Joon-seok  Chae
33563062,Francisco-Javier  Aznar
33692774,Ignazio  Carbone
33737507,Hiroyuki  Ohta
33819085,Gábor M. Kovács
33879056,Michael S. Caterino
34047690,Laura G. Brown
34161861,Philippe  Normand
34199736,Mark A. Winters
34353661,Kiyoto  Maekawa
34420088,Ian H. Brown
34423800,Iracilda  Sampaio
34466487,Roy A.  Hall
34554488,Naoto  Ito
34581091,Shugo  Watabe
34611537,Norihiko  Misawa
34663544,Takeshi  Agatsuma
34713631,Peter B. Heenan
34713646,Naoaki  Yokoyama
34756142,Robert W. Jackson
34780197,Teruyuki  Niimi
34830711,Frank R. Blattner
34848404,Toru  Shimada
34855637,Kazuei  Mita
34894124,David  Modrý
34935126,Detlev H. Krüger
34936558,W. Mark Whitten
35031117,Hitoshi  Sakakibara
35216522,Kazufumi  Yazaki
35217373,Satoshi  Hanada
35329205,GRAHAM N.  STONE
35358108,Steven Philip Djordjevic
35445888,Joseph Anthony Cook
35651895,BYRON J.  ADAMS
36162836,Milan  Jirků
36513367,Jerri Lee Bartholomew
36742995,Alastair G. B.  Simpson
36942574,Martin D Crespi
37311632,Shoichiro  Suda
37382297,Shinji  Yamasaki
37477233,James F.X.  Wellehan
37566144,Katsumi  Mizuta
38332260,Mark R. Liles
38352473,Elizabeth A. Zimmer
38504813,Tomoyoshi  Nozaki
38785418,Alan L. Archibald
39013460,Masato  Tashiro
39140438,Gertraud  Burger
39348886,C. Donovan Bailey
