"","author_id","name_initial","name","num_ssid_1997","num_ssid_1998","num_ssid_1999","num_ssid_2000","num_ssid_2001","num_ssid_2002","num_ssid_2003","num_ssid_2004","num_ssid_2005","num_ssid_2006","num_ssid_2007","num_ssid_2008","num_ssid_2009","num_ssid_2010","num_ssid_2011","num_ssid_2012","num_ssid_2013","num_ssid_2014","num_ssid_2015","num_ssid_2016","num_ssid_2017"
"58",1966538,"Mizokami,M.","Masashi  Mizokami",6,4,5,3,5,8,3,10,2,9,9,8,4,4,2,5,2,NA,NA,NA,1
"59",1977803,"Liesack,W.","Werner  Liesack",5,7,6,6,6,4,5,4,5,6,5,2,1,5,4,4,NA,NA,NA,1,1
"60",1978243,"Horii,T.","Toshihiro  Horii",1,NA,NA,1,NA,1,1,3,1,1,4,2,NA,5,3,7,1,NA,2,1,1
"61",1978283,"Keim,P.S.","Paul S. Keim",2,NA,3,2,2,3,NA,1,4,NA,3,1,4,1,5,6,4,2,3,NA,1
"62",1978763,"Simmons,M.P.","Mark P. Simmons",NA,1,NA,NA,2,NA,NA,1,2,5,2,1,NA,1,5,3,4,2,NA,1,1
"63",1992916,"Ito,M.","Motomi  Ito",NA,NA,1,2,NA,1,6,3,4,5,2,4,1,5,3,NA,4,1,1,2,1
"64",1999355,"Delong,E.F.","Edward F.  DeLong",2,2,5,5,4,6,7,5,2,12,8,3,3,1,4,NA,1,1,3,NA,NA
"65",2007937,"Inoko,H.","Hidetoshi  Inoko",9,11,10,4,6,7,8,9,8,6,3,3,7,1,5,3,2,3,1,1,NA
"66",2008593,"Gasser,R.B.","Robin B.  Gasser",5,12,12,4,6,8,8,8,6,11,11,10,13,8,10,12,17,19,6,13,9
"67",2009606,"Escalante,A.A.","Ananias A.  Escalante",NA,1,2,NA,1,4,1,1,2,3,2,1,1,7,7,6,9,4,5,4,2
"68",2010467,"Janke,A.","Axel  Janke",4,8,1,5,2,8,8,7,1,5,4,4,1,1,NA,2,3,5,2,2,1
"69",2010756,"Glenn,T.C.","Travis C.  Glenn",1,1,2,NA,1,5,8,2,2,2,7,8,11,NA,3,5,1,5,6,NA,2
"70",2011972,"Lukes,J.","Julius  Lukeš",2,3,2,7,6,9,3,3,1,13,4,4,7,7,4,11,6,8,15,10,5
"71",2016266,"Masuzawa,T.","Toshiyuki  Masuzawa",4,NA,1,NA,4,NA,2,3,2,2,2,2,1,1,3,NA,3,2,2,NA,NA
"72",2022481,"Lan,R.","Ruiting  Lan",1,2,1,3,2,1,2,2,3,2,1,2,2,2,3,5,6,2,4,5,3
"73",2023657,"Wolinsky,S.M.","Steven M. Wolinsky",1,2,3,NA,2,1,2,1,3,1,4,3,NA,NA,1,NA,2,2,NA,1,NA
"74",2025616,"Hendrix,R.W.","Roger W. Hendrix",NA,3,1,3,NA,1,2,2,1,1,3,1,2,NA,4,NA,2,2,2,NA,NA
"75",2028042,"Tsuboi,T.","Takafumi  Tsuboi",2,1,1,NA,4,2,5,2,1,2,NA,1,2,NA,1,NA,2,1,1,1,NA
"76",2033416,"Stougaard,J.","Jens  Stougaard",1,NA,1,NA,NA,6,8,NA,7,5,1,4,6,4,1,4,1,1,2,1,NA
"77",2035386,"Zehr,J.P.","Jonathan P. Zehr",2,2,2,2,6,3,1,3,NA,9,8,6,3,1,3,3,2,6,1,2,NA
